# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;49959;411.5;7.03665e-05;0.000186409
mtd_write;49960;411.5;7.03665e-05;0.000186409
mtd_write;49961;411.5;7.03665e-05;0.000186409
mtd_write;49962;411.5;7.03665e-05;0.000186409
mtd_write;49963;411.5;7.03665e-05;0.000186409
mtd_write;49964;411.5;7.03665e-05;0.000186409
mtd_write;49965;411.5;7.03665e-05;0.000186409
mtd_write;49966;411.5;7.03665e-05;0.000186409
mtd_write;49967;411.5;7.03665e-05;0.000186409
mtd_write;49968;411.5;7.03665e-05;0.000186409
mtd_write;49969;411.5;7.03665e-05;0.000186409
mtd_write;49970;411.5;7.03665e-05;0.000186409
mtd_write;49971;411.5;7.03665e-05;0.000186409
mtd_write;49972;411.5;7.03665e-05;0.000186409
mtd_write;49973;411.5;7.03665e-05;0.000186409
mtd_write;49974;411.5;7.03665e-05;0.000186409
mtd_write;49975;411.5;7.03665e-05;0.000186409
mtd_write;49976;411.5;7.03665e-05;0.000186409
mtd_write;49977;411.5;7.03665e-05;0.000186409
mtd_write;49978;411.5;7.03665e-05;0.000186409
mtd_write;49979;411.5;7.03665e-05;0.000186409
mtd_write;49980;411.5;7.03665e-05;0.000186409
mtd_write;49981;411.5;7.03665e-05;0.000186409
mtd_write;49982;411.5;7.03665e-05;0.000186409
mtd_write;49983;411.5;7.03665e-05;0.000186409
mtd_write;49856;411.5;7.03665e-05;0.000186409
mtd_write;49857;411.5;7.03665e-05;0.000186409
mtd_write;49858;411.5;7.03665e-05;0.000186409
mtd_write;49859;411.5;7.03665e-05;0.000186409
mtd_write;49860;411.5;7.03665e-05;0.000186409
mtd_write;49861;411.5;7.03665e-05;0.000186409
mtd_write;49862;411.5;7.03665e-05;0.000186409
mtd_write;49863;411.5;7.03665e-05;0.000186409
mtd_write;49864;411.5;7.03665e-05;0.000186409
mtd_write;49865;411.5;7.03665e-05;0.000186409
mtd_write;49866;411.5;7.03665e-05;0.000186409
mtd_write;49867;411.5;7.03665e-05;0.000186409
mtd_write;49868;411.5;7.03665e-05;0.000186409
mtd_write;49869;411.5;7.03665e-05;0.000186409
mtd_write;49870;411.5;7.03665e-05;0.000186409
mtd_write;49871;411.5;7.03665e-05;0.000186409
mtd_write;49872;411.5;7.03665e-05;0.000186409
mtd_write;49873;411.5;7.03665e-05;0.000186409
mtd_write;49874;411.5;7.03665e-05;0.000186409
mtd_write;49875;411.5;7.03665e-05;0.000186409
mtd_write;49876;411.5;7.03665e-05;0.000186409
mtd_write;49877;411.5;7.03665e-05;0.000186409
mtd_write;49878;411.5;7.03665e-05;0.000186409
mtd_write;49879;411.5;7.03665e-05;0.000186409
mtd_write;49880;411.5;7.03665e-05;0.000186409
mtd_write;49881;411.5;7.03665e-05;0.000186409
mtd_write;49882;411.5;7.03665e-05;0.000186409
mtd_write;49883;411.5;7.03665e-05;0.000186409
mtd_write;49884;411.5;7.03665e-05;0.000186409
mtd_write;49885;411.5;7.03665e-05;0.000186409
mtd_write;49886;411.5;7.03665e-05;0.000186409
mtd_write;49887;411.5;7.03665e-05;0.000186409
mtd_write;49888;411.5;7.03665e-05;0.000186409
mtd_write;49889;411.5;7.03665e-05;0.000186409
mtd_write;49890;411.5;7.03665e-05;0.000186409
mtd_write;49891;411.5;7.03665e-05;0.000186409
mtd_write;49892;411.5;7.03665e-05;0.000186409
mtd_write;49893;411.5;7.03665e-05;0.000186409
mtd_write;49894;411.5;7.03665e-05;0.000186409
mtd_write;49895;411.5;7.03665e-05;0.000186409
mtd_write;49896;411.5;7.03665e-05;0.000186409
mtd_write;49897;411.5;7.03665e-05;0.000186409
mtd_write;49898;411.5;7.03665e-05;0.000186409
