2.853242320;W;54969;sync_supers
9.013855744;R;54967;select
9.014252459;R;54913;select
9.014435557;R;54914;select
9.014710203;R;54915;select
9.014862785;R;54916;select
9.015137431;R;54920;select
9.015290012;R;54921;select
9.015473110;R;54922;select
9.015717240;R;54923;select
9.015900337;R;54924;select
22.019226733;R;54967;select
22.019562414;R;54913;select
22.019745513;R;54914;select
22.019989645;R;54915;select
22.020172743;R;54916;select
22.020416875;R;54920;select
22.020599973;R;54921;select
22.020783072;R;54922;select
22.021027204;R;54923;select
22.021179786;R;54924;select
25.537504502;R;54927;select
25.537748654;R;54928;select
25.538023324;R;54930;select
25.538206438;R;54931;select
25.538450589;R;54932;select
25.538694741;R;54934;select
25.538877854;R;54935;select
25.539122006;R;54938;select
25.539305119;R;54939;select
25.539518752;R;54940;select
25.539701866;R;54941;select
25.539884979;R;54942;select
25.540129131;R;54943;select
25.540312244;R;54944;select
25.540464839;R;54945;select
25.540708991;R;54946;select
45.101165517;R;54951;select
45.101379142;R;54952;select
45.101653802;R;54948;select
45.101836909;R;54949;select
45.102020016;R;54950;select
45.102264159;R;54955;select
45.102447266;R;54956;select
45.102691408;R;54916;select
45.102874515;R;54917;select
45.103057622;R;54918;select
45.103301765;R;54952;select
45.103454354;R;54953;select
45.103637461;R;54954;select
45.103881603;R;54959;select
45.104064710;R;54960;select
45.104217299;R;54961;select
45.104461442;R;54924;select
45.104644549;R;54925;select
45.104827656;R;54926;select
45.105071798;R;54958;select
45.105224387;R;54959;select
45.105468530;R;54962;select
45.105651637;R;54963;select
45.105895779;R;54936;select
45.106078886;R;54937;select
45.106261993;R;54938;select
45.106506136;R;54965;select
45.106689243;R;54966;select
45.106902867;R;54919;select
45.107085974;R;54920;select
45.107330117;R;54947;select
45.107513224;R;54948;select
45.107848922;R;54955;select
45.108062550;R;54962;select
45.108245660;R;54967;select
45.108428770;R;54968;select
185.626953051;R;54967;select
185.627288741;R;54913;select
185.627471845;R;54914;select
185.627746500;R;54915;select
185.627929604;R;54916;select
185.628173742;R;54920;select
185.628356846;R;54921;select
185.628509432;R;54922;select
185.628753571;R;54923;select
185.628936675;R;54924;select
