7.020538722;W;54969;sync_supers
7.270754124;R;54967;select
7.270998260;R;54965;select
7.271211879;R;54962;select
7.271394982;R;54959;select
7.271578084;R;54958;select
7.271761187;R;54955;select
7.271944289;R;54952;select
7.272127391;R;54951;select
7.272310494;R;54948;select
7.272493596;R;54947;select
7.272676698;R;54945;select
7.272859801;R;54943;select
7.273042903;R;54940;select
7.273195489;R;54941;select
7.273378591;R;54938;select
7.273561693;R;54936;select
7.273744796;R;54934;select
7.273927898;R;54931;select
7.274111000;R;54930;select
7.274294103;R;54927;select
7.274477205;R;54924;select
7.274660308;R;54923;select
7.274843410;R;54920;select
7.275026512;R;54919;select
7.275209615;R;54916;select
7.275392717;R;54915;select
7.275575819;R;54913;select
7.275819956;R;54967;select
8.047454602;R;54913;select
8.047668226;R;54914;select
8.047912368;R;54915;select
8.048095474;R;54916;select
8.048370133;R;54920;select
8.048522722;R;54921;select
8.048705828;R;54922;select
8.048949970;R;54923;select
8.049133076;R;54924;select
20.658141938;R;54967;select
20.658477636;R;54913;select
20.658660744;R;54914;select
20.658935406;R;54915;select
20.659118514;R;54916;select
20.659362658;R;54920;select
20.659545766;R;54921;select
20.659728874;R;54922;select
20.659973019;R;54923;select
20.660156127;R;54924;select
23.840240484;R;54927;select
23.840515139;R;54928;select
23.840820311;R;54930;select
23.841003414;R;54931;select
23.841247552;R;54932;select
23.841522207;R;54934;select
23.841705310;R;54935;select
23.841949448;R;54938;select
23.842132551;R;54939;select
23.842376689;R;54940;select
23.842529275;R;54941;select
23.842712378;R;54942;select
23.842956516;R;54943;select
23.843139619;R;54944;select
23.843322722;R;54945;select
23.843566860;R;54946;select
42.393341452;R;54951;select
42.393585587;R;54952;select
42.393860239;R;54948;select
42.394043341;R;54949;select
42.394226442;R;54950;select
42.394470577;R;54955;select
42.394653679;R;54956;select
42.394897814;R;54916;select
42.395080915;R;54917;select
42.395325050;R;54918;select
42.395599701;R;54952;select
42.395752285;R;54953;select
42.395935386;R;54954;select
42.396179520;R;54959;select
42.396362620;R;54960;select
42.396545721;R;54961;select
42.396789855;R;54924;select
42.396972956;R;54925;select
42.397125540;R;54926;select
42.397369674;R;54958;select
42.397552774;R;54959;select
42.397796908;R;54962;select
42.397980009;R;54963;select
42.398224143;R;54936;select
42.398407244;R;54937;select
42.398590345;R;54938;select
42.398834479;R;54965;select
42.399017579;R;54966;select
42.399261713;R;54919;select
42.399444814;R;54920;select
42.399688948;R;54947;select
42.399872049;R;54948;select
42.400116183;R;54955;select
42.400329800;R;54962;select
42.400512901;R;54967;select
42.400696002;R;54968;select
179.751524825;R;54967;select
179.751830004;R;54913;select
179.752043628;R;54914;select
179.752318289;R;54915;select
179.752501395;R;54916;select
179.752745538;R;54920;select
179.752928645;R;54921;select
179.753081234;R;54922;select
179.753355894;R;54923;select
179.753508483;R;54924;select
