# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;1155;9.92177e-317;1.4822e-323
jffs2_readpage;789;9.92315e-317;1.97626e-323
jffs2_readpage;789;9.92341e-317;2.47033e-323
jffs2_readpage;789;9.9236e-317;2.96439e-323
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;777.5;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.94774e-317;2.12448e-322
jffs2_readpage;789;9.92299e-317;3.45846e-323
jffs2_readpage;789;9.92531e-317;3.95253e-323
jffs2_readpage;789;9.92551e-317;4.44659e-323
jffs2_readpage;789;9.92581e-317;4.94066e-323
jffs2_readpage;789;9.92606e-317;5.43472e-323
jffs2_readpage;789;9.92446e-317;5.92879e-323
jffs2_readpage;789;9.92466e-317;6.42285e-323
jffs2_readpage;789;9.92868e-317;6.91692e-323
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.92509e-317;7.41098e-323
jffs2_readpage;789;9.92893e-317;7.90505e-323
jffs2_readpage;789;9.92983e-317;8.39912e-323
jffs2_readpage;789;9.93006e-317;8.89318e-323
jffs2_readpage;789;9.93033e-317;9.38725e-323
jffs2_readpage;789;9.92945e-317;9.88131e-323
jffs2_readpage;789;9.93104e-317;1.03754e-322
jffs2_readpage;789;9.92711e-317;1.08694e-322
jffs2_readpage;789;9.92731e-317;1.13635e-322
jffs2_readpage;789;9.92757e-317;1.18576e-322
jffs2_readpage;789;9.93064e-317;1.23516e-322
jffs2_readpage;789;9.92843e-317;1.28457e-322
jffs2_readpage;789;9.92284e-317;1.33398e-322
jffs2_readpage;789;9.93608e-317;1.38338e-322
jffs2_readpage;789;9.93645e-317;1.43279e-322
jffs2_readpage;789;9.93671e-317;1.4822e-322
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.93697e-317;1.5316e-322
jffs2_readpage;789;9.85573e-317;1.58101e-322
jffs2_readpage;789;9.84005e-317;1.63042e-322
jffs2_readpage;789;9.82117e-317;1.67982e-322
jffs2_readpage;789;9.82562e-317;1.72923e-322
jffs2_readpage;789;9.86655e-317;1.77864e-322
jffs2_readpage;789;9.85765e-317;1.82804e-322
jffs2_readpage;789;9.92695e-317;1.87745e-322
jffs2_readpage;789;9.85744e-317;1.92686e-322
jffs2_readpage;789;9.92707e-317;1.97626e-322
jffs2_readpage;789;9.93753e-317;2.02567e-322
jffs2_readpage;789;1.00339e-316;2.07508e-322
jffs2_readpage;789;9.94798e-317;2.17389e-322
jffs2_readpage;789;9.94813e-317;2.2233e-322
jffs2_readpage;789;9.93157e-317;2.2727e-322
jffs2_readpage;789;9.93181e-317;2.32211e-322
jffs2_readpage;789;9.93258e-317;2.37152e-322
